name,office_sought,party_affiliation,office_level,district_type,body_text,total_emails_sent
Jose Castillo,U.S. House Florida District 9,Republican Party,Federal,Congress,13,13
Joseph Kennedy III,U.S. Senate Massachusetts,Democratic Party,Federal,State,248,248
Joseph Morgan,U.S. House Arizona District 2,Republican Party,Federal,Congress,38,38
Josh Hicks,U.S. House Kentucky District 6,Democratic Party,Federal,Congress,252,252
Josh Winegarner,U.S. House Texas District 13,Republican Party,Federal,Congress,33,33
Joshua Scott,U.S. House California District 32,Republican Party,Federal,Congress,14,14
Julia Brownley,U.S. House California District 26,Democratic Party,Federal,Congress,420,420
Julie Oliver,U.S. House Texas District 25,Democratic Party,Federal,Congress,158,158
Kali Barnett,U.S. House Kansas District 1,Democratic Party,Federal,Congress,659,659
Kara Eastman,U.S. House Nebraska District 2,Democratic Party,Federal,Congress,118,118
Karen Bass,U.S. House California District 37,Democratic Party,Federal,Congress,27,27
Karl Gentles,U.S. House Arizona District 6,Democratic Party,Federal,Congress,58,58
Kat Cammack,U.S. House Florida District 3,Republican Party,Federal,Congress,136,136
Kate Bolz,U.S. House Nebraska District 1,Democratic Party,Federal,Congress,272,272
Kate Gibbs,U.S. House New Jersey District 3,Republican Party,Federal,Congress,16,16
Kathaleen Wall,U.S. House Texas District 22,Republican Party,Federal,Congress,57,57
Kathleen Anderson,U.S. House Utah District 4,Republican Party,Federal,Congress,13,13
